Driver,Team,Races,AvgFinish,Wins,Podiums,BestLapTime,AvgLapTime,TotalSoftLaps,TotalMediumLaps,TotalHardLaps,TotalPoints,TotalDNFs
ALB,Williams,24,14.541666666666666,0,0,70.364,94.95101580952381,94,367,626,12,17
ALO,Aston Martin,24,10.166666666666666,0,0,67.694,94.46080487500001,90,538,628,69,8
BEA,Haas F1 Team,3,9.666666666666666,0,0,82.494,98.59271266666667,7,14,80,7,0
BOT,Kick Sauber,24,15.833333333333334,0,0,70.449,94.47234354166666,107,367,765,0,19
COL,Williams,9,13.555555555555555,0,0,80.09,96.28616375,0,108,259,5,5
DOO,Alpine,1,15.0,0,0,89.121,91.576245,0,22,35,0,1
GAS,Alpine,24,12.875,0,1,69.609,95.31545769565217,73,455,626,40,13
HAM,Mercedes,24,6.958333333333333,2,5,69.562,93.38967874999999,159,428,638,205,2
HUL,Haas F1 Team,24,11.625,0,0,70.215,93.23022652173913,46,391,779,36,11
LAW,RB,6,13.5,0,0,79.502,94.42330616666668,22,115,152,4,1
LEC,Ferrari,24,4.541666666666667,3,13,69.584,92.9009355,70,483,736,324,2
MAG,Haas F1 Team,22,13.363636363636363,0,0,70.125,92.82305,77,426,680,14,9
NOR,McLaren,24,4.291666666666667,4,13,68.016,92.549291875,83,520,706,338,1
OCO,Alpine,23,13.695652173913043,0,1,69.649,93.6709979047619,57,368,685,23,16
PER,Red Bull Racing,24,9.625,0,4,69.694,92.70255495454545,88,493,558,137,7
PIA,McLaren,24,5.125,2,8,68.697,92.90824358333333,53,531,737,265,0
RIC,RB,18,13.38888888888889,0,0,70.426,94.10272282352942,104,267,572,7,12
RUS,Mercedes,24,6.75,2,4,69.164,93.07814220833332,44,511,749,224,2
SAI,Ferrari,23,5.695652173913044,2,9,69.282,92.8634962173913,31,480,740,261,2
SAR,Williams,14,17.142857142857142,0,0,70.406,94.5116835,83,228,425,0,11
STR,Aston Martin,24,13.375,0,0,70.143,95.39315065217392,109,463,636,24,13
TSU,RB,24,13.166666666666666,0,0,70.318,94.99325995652174,131,358,638,29,15
VER,Red Bull Racing,24,3.625,9,14,67.719,92.41743337499999,85,544,635,396,1
ZHO,Kick Sauber,24,15.5,0,0,70.47,95.81166387500001,133,399,682,4,18
