Driver,Team2025,PredictionScore
VER,Red Bull Racing,0.9831869569221727
NOR,McLaren,0.8445535656006041
LEC,Ferrari,0.7286550115994539
PIA,McLaren,0.7173329557770336
RUS,Mercedes,0.6257690325443689
SAI,Williams,0.5763649808847281
HAM,Ferrari,0.5684230775223561
BEA,Haas F1 Team,0.32442378618741047
ALO,Aston Martin,0.31987291279723923
HUL,Kick Sauber,0.30579845180574294
ALB,Williams,0.28435840791092676
STR,Aston Martin,0.2824969166342055
TSU,Red Bull Racing,0.27868762649560286
OCO,Haas F1 Team,0.27648435379768993
GAS,Alpine,0.276321147787384
LAW,Racing Bulls,0.27626282533131086
DOO,Alpine,0.21451001662871433
ANT,Mercedes,0.20123663879961529
HAD,Racing Bulls,0.12080134020766986
BOR,Kick Sauber,0.09681918810629331
BOT,,
COL,,
MAG,,
PER,,
RIC,,
SAR,,
ZHO,,
